Time,Text,Image
10,0.303571429,0.696428571
20,0.285714286,0.714285714
30,0.290909091,0.709090909
40,0.275862069,0.724137931
50,0.267857143,0.732142857
60,0.254237288,0.745762712
70,0.238095238,0.761904762
80,0.275362319,0.724637681
90,0.271428571,0.728571429
100,0.295774648,0.704225352
110,0.309859155,0.690140845
120,0.324324324,0.675675676
130,0.328571429,0.671428571
140,0.319444444,0.680555556
150,0.328767123,0.671232877
160,0.324324324,0.675675676
170,0.333333333,0.666666667
180,0.342105263,0.657894737
190,0.3375,0.6625
200,0.337349398,0.662650602
210,0.341463415,0.658536585
220,0.364705882,0.635294118
230,0.380952381,0.619047619
240,0.406976744,0.593023256
250,0.46875,0.53125
260,0.519230769,0.480769231
270,0.572727273,0.427272727
280,0.601694915,0.398305085
290,0.572580645,0.427419355
300,0.615384615,0.384615385
310,0.63190184,0.36809816
320,0.666666667,0.333333333
330,0.683937824,0.316062176
340,0.6875,0.3125
350,0.684931507,0.315068493
360,0.696832579,0.303167421
370,0.715517241,0.284482759
380,0.736842105,0.263157895
390,0.74,0.26
400,0.757936508,0.242063492
410,0.76984127,0.23015873
420,0.775590551,0.224409449
430,0.778656126,0.221343874
440,0.778656126,0.221343874
450,0.7734375,0.2265625
460,0.786259542,0.213740458
470,0.80608365,0.19391635
480,0.814671815,0.185328185
490,0.817120623,0.182879377
500,0.812260536,0.187739464
510,0.799227799,0.200772201
520,0.796934866,0.203065134
530,0.797752809,0.202247191
540,0.810909091,0.189090909
550,0.807272727,0.192727273
560,0.798611111,0.201388889
570,0.805555556,0.194444444
580,0.815068493,0.184931507
590,0.811447811,0.188552189
600,0.814189189,0.185810811
610,0.808219178,0.191780822
620,0.800699301,0.199300699
630,0.814685315,0.185314685
640,0.822916667,0.177083333
650,0.826388889,0.173611111
660,0.827118644,0.172881356
670,0.828178694,0.171821306
680,0.829861111,0.170138889
690,0.831034483,0.168965517
700,0.841924399,0.158075601
710,0.849315068,0.150684932
720,0.850694444,0.149305556
730,0.850533808,0.149466192
740,0.849462366,0.150537634
750,0.837370242,0.162629758
760,0.833333333,0.166666667
770,0.832786885,0.167213115
780,0.83557047,0.16442953
790,0.832191781,0.167808219
800,0.836120401,0.163879599
810,0.838926174,0.161073826
820,0.833333333,0.166666667
830,0.831034483,0.168965517
840,0.829268293,0.170731707
850,0.840989399,0.159010601
860,0.847222222,0.152777778
870,0.844067797,0.155932203
880,0.845117845,0.154882155
890,0.840677966,0.159322034
900,0.849829352,0.150170648
910,0.848591549,0.151408451
920,0.858131488,0.141868512
930,0.862676056,0.137323944
940,0.867857143,0.132142857
950,0.868131868,0.131868132
960,0.860805861,0.139194139
970,0.879562044,0.120437956
980,0.873646209,0.126353791
990,0.872340426,0.127659574
1000,0.857638889,0.142361111
1010,0.852739726,0.147260274
1020,0.849829352,0.150170648
1030,0.852233677,0.147766323
1040,0.851724138,0.148275862
1050,0.84137931,0.15862069
1060,0.847750865,0.152249135
1070,0.842293907,0.157706093
1080,0.833922261,0.166077739
1090,0.840989399,0.159010601
1100,0.846153846,0.153846154
1110,0.849122807,0.150877193
1120,0.857142857,0.142857143
1130,0.857638889,0.142361111
1140,0.857142857,0.142857143
1150,0.846689895,0.153310105
1160,0.846689895,0.153310105
1170,0.850174216,0.149825784
1180,0.837370242,0.162629758
1190,0.833333333,0.166666667
1200,0.834507042,0.165492958
1210,0.839721254,0.160278746
1220,0.816254417,0.183745583
1230,0.816849817,0.183150183
1240,0.816176471,0.183823529
1250,0.821818182,0.178181818
1260,0.816849817,0.183150183
1270,0.819852941,0.180147059
1280,0.808118081,0.191881919
1290,0.8,0.2
1300,0.807407407,0.192592593
1310,0.805970149,0.194029851
1320,0.80754717,0.19245283
1330,0.798507463,0.201492537
1340,0.790262172,0.209737828
1350,0.788888889,0.211111111
1360,0.78358209,0.21641791
1370,0.791366906,0.208633094
1380,0.802816901,0.197183099
1390,0.804270463,0.195729537
1400,0.792253521,0.207746479
1410,0.795774648,0.204225352
1420,0.796491228,0.203508772
1430,0.793594306,0.206405694
1440,0.794326241,0.205673759
1450,0.789855072,0.210144928
1460,0.789855072,0.210144928
1470,0.781021898,0.218978102
1480,0.776978417,0.223021583
1490,0.789285714,0.210714286
1500,0.783687943,0.216312057
1510,0.796296296,0.203703704
1520,0.788888889,0.211111111
1530,0.779783394,0.220216606
1540,0.787769784,0.212230216
1550,0.791366906,0.208633094
1560,0.778181818,0.221818182
1570,0.779783394,0.220216606
1580,0.783088235,0.216911765
1590,0.768656716,0.231343284
1600,0.775665399,0.224334601
1610,0.767790262,0.232209738
1620,0.756554307,0.243445693
1630,0.764258555,0.235741445
1640,0.765151515,0.234848485
1650,0.765151515,0.234848485
1660,0.767175573,0.232824427
1670,0.768656716,0.231343284
1680,0.759259259,0.240740741
1690,0.758992806,0.241007194
1700,0.769230769,0.230769231
1710,0.772893773,0.227106227
1720,0.767272727,0.232727273
1730,0.765799257,0.234200743
1740,0.753787879,0.246212121
1750,0.75,0.25
1760,0.754789272,0.245210728
1770,0.766283525,0.233716475
1780,0.75,0.25
1790,0.757352941,0.242647059
1800,0.747252747,0.252747253
1810,0.744604317,0.255395683
1820,0.748148148,0.251851852
1830,0.744360902,0.255639098
1840,0.746268657,0.253731343
