Time,Text,Image
10,17,39
20,16,40
30,16,39
40,16,42
50,15,41
60,15,44
70,15,48
80,19,50
90,19,51
100,21,50
110,22,49
120,24,50
130,23,47
140,23,49
150,24,49
160,24,50
170,25,50
180,26,50
190,27,53
200,28,55
210,28,54
220,31,54
230,32,52
240,35,51
250,45,51
260,54,50
270,63,47
280,71,47
290,71,53
300,88,55
310,103,60
320,122,61
330,132,61
340,143,65
350,150,69
360,154,67
370,166,66
380,182,65
390,185,65
400,191,61
410,194,58
420,197,57
430,197,56
440,197,56
450,198,58
460,206,56
470,212,51
480,211,48
490,210,47
500,212,49
510,207,52
520,208,53
530,213,54
540,223,52
550,222,53
560,230,58
570,232,56
580,238,54
590,241,56
600,241,55
610,236,56
620,229,57
630,233,53
640,237,51
650,238,50
660,244,51
670,241,50
680,239,49
690,241,49
700,245,46
710,248,44
720,245,43
730,239,42
740,237,42
750,242,47
760,245,49
770,254,51
780,249,49
790,243,49
800,250,49
810,250,48
820,245,49
830,241,49
840,238,49
850,238,45
860,244,44
870,249,46
880,251,46
890,248,47
900,249,44
910,241,43
920,248,41
930,245,39
940,243,37
950,237,36
960,235,38
970,241,33
980,242,35
990,246,36
1000,247,41
1010,249,43
1020,249,44
1030,248,43
1040,247,43
1050,244,46
1060,245,44
1070,235,44
1080,236,47
1090,238,45
1100,242,44
1110,242,43
1120,246,41
1130,247,41
1140,246,41
1150,243,44
1160,243,44
1170,244,43
1180,242,47
1190,235,47
1200,237,47
1210,241,46
1220,231,52
1230,223,50
1240,222,50
1250,226,49
1260,223,50
1270,223,49
1280,219,52
1290,216,54
1300,218,52
1310,216,52
1320,214,51
1330,214,54
1340,211,56
1350,213,57
1360,210,58
1370,220,58
1380,228,56
1390,226,55
1400,225,59
1410,226,58
1420,227,58
1430,223,58
1440,224,58
1450,218,58
1460,218,58
1470,214,60
1480,216,62
1490,221,59
1500,221,61
1510,215,55
1520,213,57
1530,216,61
1540,219,59
1550,220,58
1560,214,61
1570,216,61
1580,213,59
1590,206,62
1600,204,59
1610,205,62
1620,202,65
1630,201,62
1640,202,62
1650,202,62
1660,201,61
1670,206,62
1680,205,65
1690,211,67
1700,210,63
1710,211,62
1720,211,64
1730,206,63
1740,199,65
1750,198,66
1760,197,64
1770,200,61
1780,204,68
1790,206,66
1800,204,69
1810,207,71
1820,202,68
1830,198,68
1840,200,68
1850,202,70
1860,200,73
1870,202,76
1880,190,78
1890,194,76
1900,194,75
1910,195,77
1920,201,78
1930,200,78
1940,197,78
1950,190,74
1960,192,72
1970,196,72
1980,194,73
1990,201,73
2000,196,78
2010,196,76
2020,194,76
2030,190,73
2040,195,75
2050,194,81
2060,195,81
2070,199,77
2080,205,78
2090,206,78
2100,206,78
2110,200,78
2120,202,79
2130,199,81
2140,197,73
2150,196,72
2160,200,77
2170,195,79
2180,190,83
2190,189,86
2200,186,86
2210,186,88
2220,183,90
2230,178,89
2240,181,86
2250,186,84
2260,187,81
2270,184,81
2280,191,81
2290,186,85
2300,183,85
2310,184,84
2320,190,81
2330,186,83
2340,186,84
2350,181,84
2360,183,85
2370,182,86
2380,185,86
2390,183,85
2400,188,84
2410,192,86
2420,184,85
2430,184,86
2440,179,84
2450,185,85
2460,180,83
2470,185,83
2480,178,80
2490,183,84
2500,181,83
2510,183,83
